choraleNumber,voiceType,amountOfArpeggiation,averageMelodicInterval,durationOfMelodicIntervals,repeatedNotes,melodicTempiIndivLines,rangeIndivVoices,stepwiseMinusChromaticIndiv
23,B,0.246153846,2.461538462,7,0.061538462,-0.368195771,-0.150925977,0.307692308
23,T,0.333333333,1.783333333,9,0.216666667,0.160380179,0.483196574,0.35
23,A,0.440677966,1.627118644,9.4,0.322033898,0.270543405,-0.150925977,0.237288136
23,S,0.244444444,1.644444444,13.66666667,0.133333333,2.032053256,-0.653796752,0.377777778
24,B,0.226027397,3,47.66666667,0.061643836,-1.085748502,3.773992938,0.321917808
24,T,0.231707317,2.158536585,17.22222222,0.115853659,-1.931729393,0.925975543,0.420731707
24,A,0.22147651,1.704697987,17.5,0.161073826,-1.231665523,1.17741093,0.369127517
24,S,0.286956522,2.043478261,18.16666667,0.173913043,0.585566675,-0.019674202,0.565217391
25,B,0.35,3.2,11,0.033333333,-1.091430343,2.194220643,0.383333333
25,T,0.292307692,2,9.5,0.138461538,-1.660035286,0.54328838,0.338461538
25,A,0.327586207,1.586206897,13,0.24137931,-0.854527261,0.483196574,0.24137931
25,S,0.12,1.94,7.166666667,0.06,0.162743754,0.483196574,0.54
26,B,0.318181818,2.848484848,21,0.045454545,-1.820729176,2.002877062,0.363636364
26,T,0.235294118,2.411764706,21.66666667,0.102941176,-2.036402547,1.811533481,0.382352941
26,A,0.327272727,2.072727273,6.571428571,0.145454545,-0.547563352,0.734631961,0.290909091
26,S,0.076923077,1.903846154,7.5,0.057692308,-0.167227124,0.231761186,0.615384615
27,B,0.242857143,3.557142857,22.33333333,0.042857143,-1.048955328,2.828343193,0.357142857
27,T,0.263157895,2.118421053,11.66666667,0.118421053,-1.638702503,0.483196574,0.368421053
27,A,0.363636364,2.151515152,6.111111111,0.242424242,-0.634769241,-0.653796752,0.333333333
27,S,0.158730159,1.952380952,9.333333333,0.126984127,-0.310851766,-0.019674202,0.555555556
28,B,0.393939394,3.757575758,5.6,0,0.1395932,0.865883736,0.333333333
28,T,0.4,2,8.666666667,0.266666667,0.757054966,-1.287919303,0.4
28,A,0.393939394,1.393939394,15.5,0.303030303,0.1395932,-1.156667528,0.212121212
28,S,0.2,2,11.5,0.04,1.931658138,-0.90523214,0.52
29,B,0.333333333,2.974358974,12,0.102564103,2.234009789,1.691349867,0.307692308
29,T,0.333333333,1.897435897,11.66666667,0.230769231,2.396046992,-1.036483915,0.358974359
29,A,0.27027027,1.567567568,8,0.189189189,2.911121534,-1.479262884,0.432432432
29,S,0.24137931,2.137931034,13,0.034482759,4.822907288,-0.462453171,0.413793103
30,B,0.238095238,2.5,27,0.023809524,-0.984991371,4.216771907,0.357142857
30,T,0.296296296,1.765432099,19.25,0.197530864,-0.727583153,0.925975543,0.37037037
30,A,0.255813953,1.61627907,16.2,0.186046512,-1.152742134,1.368754512,0.418604651
30,S,0.106060606,1.545454545,14.75,0.106060606,0.694603124,0.423104767,0.53030303
31,B,0.222222222,3.611111111,13.4,0,-0.76802423,2.516815999,0.402777778
31,T,0.328571429,1.728571429,16.25,0.228571429,-0.570416835,-0.653796752,0.442857143
31,A,0.352941176,1.367647059,5,0.279411765,-0.368195771,-1.670606465,0.205882353
31,S,0.2,1.72,4.875,0.16,1.748968366,-1.922041853,0.48
32,B,0.216666667,2.5,14,0.083333333,-1.03007259,1.691349867,0.366666667
32,T,0.307692308,1.923076923,20.66666667,0.2,-1.600854195,-1.036483915,0.4
32,A,0.362318841,1.550724638,8.714285714,0.260869565,-2.036402547,-1.922041853,0.449275362
32,S,0.265306122,1.612244898,15,0.163265306,0.369906842,0.231761186,0.306122449
33,B,0.259259259,3.777777778,4.2,0.037037037,-0.197550177,0.554356541,0.444444444
33,T,0.310344828,1.206896552,8.666666667,0.275862069,-0.675411622,-0.845140334,0.379310345
33,A,0.481481481,1.037037037,6.333333333,0.444444444,-0.197550177,-2.113385434,0.222222222
33,S,0.272727273,1.454545455,6,0.227272727,1.146557474,-2.61625621,0.409090909
34,B,0.180327869,2.901639344,19,0.06557377,-1.146872971,1.308662705,0.459016393
34,T,0.32,1.86,6.142857143,0.24,0.232028639,-0.653796752,0.3
34,A,0.304347826,1.717391304,5.285714286,0.173913043,0.800061827,-1.036483915,0.434782609
34,S,0.268292683,1.585365854,7.2,0.170731707,1.583854993,-1.730698272,0.56097561
35,B,0.237288136,2.627118644,18.66666667,0.033898305,-0.911817976,2.636999612,0.322033898
35,T,0.414285714,2.057142857,10.33333333,0.214285714,-2.142774586,0.100509411,0.214285714
35,A,0.25,1.53125,9.5,0.1875,-1.4892199,-0.593704946,0.40625
35,S,0.211538462,1.942307692,4.2,0.115384615,-0.036402694,-1.036483915,0.365384615
36,B,0.25862069,3.051724138,28,0.017241379,-0.792035185,3.139870388,0.310344828
36,T,0.381818182,1.745454545,7.833333333,0.290909091,-0.422699086,0.100509411,0.309090909
36,A,0.471698113,1.471698113,12,0.377358491,-0.167227124,-0.976392108,0.226415094
36,S,0.166666667,1.87037037,4.4,0.111111111,-0.295955152,-1.036483915,0.388888889
37,B,0.285714286,2.857142857,10.66666667,0.114285714,-0.055314872,0.36301296,0.257142857
37,T,0.4,2.05,9,0.25,-0.96597708,0.36301296,0.35
37,A,0.45,1.55,8,0.35,-0.96597708,-0.90523214,0.25
37,S,0.352941176,2.235294118,5.8,0.088235294,0.1395932,-0.90523214,0.470588235
38,B,0.245283019,2.905660377,16.66666667,0.056603774,-0.889547812,1.942785255,0.283018868
38,T,0.3125,1.395833333,6.833333333,0.25,-0.216870883,-0.785048527,0.416666667
38,A,0.355555556,1.4,6.166666667,0.311111111,0.214819914,-1.287919303,0.444444444
38,S,0.421052632,1.447368421,8.5,0.315789474,1.334729548,-0.653796752,0.289473684
39,B,0.193548387,2.935483871,19.66666667,0.048387097,-0.20002899,1.188479092,0.419354839
39,T,0.27027027,2.567567568,11.16666667,0.121621622,-1.445875918,0.231761186,0.364864865
39,A,0.287671233,1.821917808,23.33333333,0.178082192,-1.348111296,-0.019674202,0.342465753
39,S,0.25,1.840909091,13.66666667,0.204545455,2.157622169,0.36301296,0.545454545
40,B,0.243243243,3.324324324,4.285714286,0,-0.431346783,-0.653796752,0.459459459
40,T,0.342857143,1.685714286,10.66666667,0.228571429,-0.055314872,-0.653796752,0.371428571
40,A,0.2,1.577777778,3.3,0.155555556,-1.79563439,-2.556164403,0.377777778
40,S,0.258064516,2.064516129,5.2,0.129032258,0.757054966,-1.53935469,0.548387097
41,B,0.173333333,3.173333333,17.75,0,-0.607432494,2.768251387,0.413333333
41,T,0.313253012,2.228915663,26.66666667,0.144578313,-1.326592261,0.614448348,0.325301205
41,A,0.428571429,1.728571429,16.5,0.3,-0.12640922,1.057227317,0.342857143
41,S,0.25,1.78125,15,0.15625,0.492216207,1.117319124,0.46875
42,B,0.245283019,2.981132075,25.5,0.018867925,-0.167227124,1.811533481,0.339622642
42,T,0.367346939,1.857142857,10.25,0.285714286,0.369906842,-0.150925977,0.367346939
42,A,0.29787234,1.659574468,14,0.212765957,0.653751349,-0.402361365,0.29787234
42,S,0.35483871,1.548387097,5.75,0.258064516,3.543247126,-2.173477241,0.419354839
43,B,0.204081633,3.183673469,23,0.020408163,0.811551139,1.43991448,0.326530612
43,T,0.34,1.96,15,0.22,0.684855611,0.040417605,0.42
43,A,0.309090909,1.781818182,6.571428571,0.236363636,0.082664044,-1.287919303,0.4
43,S,0.333333333,1.794871795,8,0.179487179,2.234009789,-2.364820822,0.358974359
44,B,0.28,3.76,11.5,0.04,-0.288319082,2.134128836,0.22
44,T,0.372881356,2.084745763,10.8,0.220338983,-1.459101454,0.291852992,0.322033898
44,A,0.381818182,1.636363636,17.33333333,0.272727273,-0.95680753,0.231761186,0.309090909
44,S,0.333333333,2,13.66666667,0.177777778,0.439040442,0.231761186,0.333333333
45,B,0.072727273,2.509090909,12.75,0,-2.368817425,1.560098093,0.436363636
45,T,0.244444444,2,6.166666667,0.177777778,-0.912277497,-1.53935469,0.444444444
45,A,0.268292683,1.317073171,5.666666667,0.243902439,-0.263830581,-2.364820822,0.317073171
45,S,0.315789474,1.368421053,8,0.315789474,0.257952039,-1.730698272,0.473684211
46,B,0.240740741,3.37037037,12.25,0.018518519,-0.295955152,0.554356541,0.425925926
46,T,0.387755102,2.204081633,8.6,0.224489796,0.369906842,-0.019674202,0.346938776
46,A,0.416666667,1.604166667,4.25,0.270833333,0.510426057,-1.670606465,0.25
46,S,0.41509434,3,9.6,0.094339623,-0.167227124,-0.019674202,0.339622642
47,B,0.209677419,3.129032258,30,0.048387097,0.176594249,3.019686774,0.35483871
47,T,0.344262295,1.803278689,7.714285714,0.278688525,0.280315809,-1.036483915,0.409836066
47,A,0.416666667,1.283333333,5.375,0.316666667,0.385500617,-1.922041853,0.266666667
47,S,0.44,1.46,11.5,0.32,1.535072729,-1.53935469,0.42
48,B,0.2,2.633333333,19,0.05,0.026312521,3.773992938,0.333333333
48,T,0.333333333,2.066666667,28.5,0.183333333,0.026312521,0.925975543,0.366666667
48,A,0.396825397,1.53968254,20,0.301587302,-0.310851766,0.231761186,0.317460317
48,S,0.288888889,1.822222222,13.66666667,0.155555556,2.001548031,0.674540155,0.355555556
49,B,0.2,2.833333333,59,0.033333333,-1.03007259,2.899503161,0.45
49,T,0.274193548,2.258064516,6.5,0.14516129,-1.262288368,0.231761186,0.5
49,A,0.310344828,2.068965517,18.33333333,0.120689655,-0.792035185,0.231761186,0.396551724
49,S,0.156862745,2.156862745,5,0.078431373,0.096639083,-0.653796752,0.529411765
50,B,0.25,3,29,0.033333333,-1.580901395,1.942785255,0.45
50,T,0.285714286,2.349206349,14.75,0.142857143,-1.938376787,0.231761186,0.380952381
50,A,0.283333333,1.766666667,6.25,0.166666667,-1.580901395,-0.402361365,0.333333333
50,S,0.134615385,2.115384615,5.125,0.076923077,-0.561845939,-0.653796752,0.557692308
51,B,0.202020202,2.666666667,13.14285714,0.101010101,-1.049573232,1.117319124,0.363636364
51,T,0.381443299,1.855670103,31.33333333,0.24742268,-0.831328813,0.865883736,0.412371134
51,A,0.380434783,1.75,13.83333333,0.27173913,-0.531957041,-0.90523214,0.293478261
51,S,0.356321839,1.482758621,12.66666667,0.298850575,-0.062291415,-0.90523214,0.413793103
52,B,0.197530864,2.913580247,10.57142857,0.037037037,-2.652704783,2.828343193,0.419753086
52,T,0.306666667,1.906666667,24,0.2,-2.074093143,1.308662705,0.36
52,A,0.337662338,1.584415584,17.75,0.25974026,-2.269905446,0.483196574,0.337662338
52,S,0.230769231,2.153846154,5.375,0.153846154,0.504880037,-0.90523214,0.384615385
53,B,0.203703704,3.111111111,9.8,0.018518519,-0.23345619,0.865883736,0.5
53,T,0.294117647,2.352941176,16,0.117647059,0.162743754,-0.27110959,0.352941176
53,A,0.173913043,1.565217391,14.33333333,0.108695652,0.87319891,-0.653796752,0.456521739
53,S,0.105263158,1.631578947,5.166666667,0.078947368,2.193707523,-1.922041853,0.552631579
54,B,0.196078431,2.941176471,9.2,0.039215686,-1.143025556,0.171669379,0.529411765
54,T,0.367346939,1.489795918,15.33333333,0.265306122,-0.863035712,-0.27110959,0.408163265
54,A,0.361702128,1.595744681,8.2,0.319148936,-0.574231912,-1.287919303,0.276595745
54,S,0.162790698,1.906976744,9.75,0.093023256,0.034625168,-1.156667528,0.604651163
55,B,0.272727273,3.318181818,6.333333333,0.090909091,-0.121929307,0.805791929,0.272727273
55,T,0.236363636,1.636363636,6.857142857,0.218181818,-1.680340785,-0.653796752,0.454545455
55,A,0.4,1.4,8,0.35,0.524613462,-0.653796752,0.325
55,S,0.136363636,2,13.66666667,0.068181818,-0.121929307,-0.462453171,0.545454545
56,B,0.261538462,3.169230769,20.66666667,0.061538462,-1.040207975,1.691349867,0.292307692
56,T,0.375,1.734375,15,0.21875,-0.930788856,-1.036483915,0.34375
56,A,0.365079365,1.587301587,20,0.301587302,-0.820067676,-0.593704946,0.285714286
56,S,0.326086957,1.347826087,4.5,0.152173913,1.341941729,-2.556164403,0.130434783
57,B,0.15,3.15,12.33333333,0,0.524613462,2.385564224,0.375
57,T,0.333333333,1.755555556,8,0.244444444,-0.27546451,-0.402361365,0.422222222
57,A,0.333333333,1.791666667,8.4,0.208333333,-0.719803011,-0.653796752,0.291666667
57,S,0.166666667,1.888888889,11,0.083333333,1.235609859,-0.90523214,0.555555556
58,B,0.150684932,2.547945205,17.25,0.01369863,-0.095663685,3.139870388,0.383561644
58,T,0.263888889,1.666666667,16,0.222222222,-0.001280557,-0.150925977,0.416666667
58,A,0.207792208,1.545454545,18,0.155844156,-0.462533815,0.483196574,0.441558442
58,S,0.104477612,1.985074627,15.75,0,0.488946572,0.36301296,0.52238806
59,B,0.175,2.75,14.8,0.0125,-1.151845331,1.811533481,0.4125
59,T,0.253012048,2.265060241,10.71428571,0.108433735,-1.412838464,0.54328838,0.385542169
59,A,0.186046512,1.918604651,27.66666667,0.104651163,-1.667375464,1.620189899,0.348837209
59,S,0.088235294,1.926470588,16,0.014705882,-0.026709972,0.36301296,0.558823529
60,B,0.2,2.581818182,26.5,0.018181818,-2.430200334,2.445656031,0.345454545
60,T,0.262295082,2.098360656,14.25,0.196721311,-3.221735168,0.231761186,0.491803279
60,A,0.270833333,1.75,15,0.1875,-1.440551318,-0.150925977,0.270833333
60,S,0.235294118,1.558823529,10.33333333,0.205882353,0.91756695,-1.287919303,0.441176471
61,B,0.159090909,2.931818182,6.166666667,0.022727273,-0.121929307,-0.402361365,0.295454545
61,T,0.306122449,2.040816327,7.166666667,0.183673469,-0.863035712,-0.402361365,0.306122449
61,A,0.265306122,1.653061224,15,0.204081633,-0.863035712,-0.402361365,0.530612245
61,S,0.238095238,1.714285714,12.66666667,0.214285714,0.194409565,-0.27110959,0.5
62,B,0.271186441,3.525423729,13.75,0.06779661,-1.146872971,1.308662705,0.355932203
62,T,0.238095238,1.777777778,11.6,0.158730159,-1.600854195,-1.036483915,0.380952381
62,A,0.285714286,1.698412698,30.5,0.158730159,-1.600854195,-0.211017783,0.349206349
62,S,0.142857143,2.587301587,20,0.031746032,-1.600854195,1.117319124,0.428571429
63,B,0.272727273,3.127272727,10,0.018181818,-1.680340785,1.751441674,0.363636364
63,T,0.229508197,2.180327869,11,0.098360656,-2.440619155,0.040417605,0.475409836
63,A,0.38,1.94,6.142857143,0.2,-1.00406757,-0.150925977,0.24
63,S,0.2,2.025,4.571428571,0.075,0.524613462,-1.287919303,0.525
64,B,0.197183099,3.098591549,22.66666667,0.042253521,-0.22487889,1.691349867,0.38028169
64,T,0.356164384,1.643835616,6.2,0.260273973,-0.418328881,-0.653796752,0.383561644
64,A,0.409638554,1.409638554,18.5,0.325301205,-1.326592261,0.231761186,0.325301205
64,S,0.213114754,1.819672131,8.833333333,0.131147541,0.82228837,-0.27110959,0.524590164
65,B,0.347826087,3.652173913,10.5,0,1.341941729,0.614448348,0.413043478
65,T,0.176470588,2.117647059,16,0.078431373,0.637490594,-0.653796752,0.37254902
65,A,0.222222222,2.148148148,17,0.074074074,0.246734277,0.865883736,0.5
65,S,0.111111111,1.955555556,14,0.044444444,1.492371575,1.057227317,0.6
66,B,0.259259259,2.87037037,17,0.074074074,-0.889547812,1.691349867,0.333333333
66,T,0.235294118,2.254901961,16,0.176470588,-0.492287703,0.423104767,0.431372549
66,A,0.339622642,1.754716981,7.5,0.188679245,-0.759086433,-1.036483915,0.358490566
66,S,0.24,1.96,7.333333333,0.14,-0.355719923,-1.53935469,0.52
67,B,0.281553398,3.86407767,11.875,0.009708738,1.174777855,1.691349867,0.349514563
67,T,0.333333333,1.76344086,17.6,0.225806452,1.891027895,0.483196574,0.397849462
67,A,0.333333333,1.8,21.25,0.222222222,2.123082085,0.674540155,0.344444444
67,S,0.204545455,2.295454545,10,0.056818182,2.282932197,0.925975543,0.420454545
68,B,0.473684211,3.684210526,8.5,0.052631579,2.105567961,0.805791929,0.236842105
68,T,0.473684211,2.315789474,11.33333333,0.236842105,2.105567961,-0.90523214,0.394736842
68,A,0.268292683,2.243902439,12.33333333,0.12195122,1.583854993,-0.90523214,0.195121951
68,S,0.5,1.6875,9,0.3125,3.313826326,-0.90523214,0.28125
69,B,0.25,3.545454545,13.66666667,0.022727273,-0.260032406,1.43991448,0.375
69,T,0.20212766,2.042553191,30.33333333,0.095744681,-0.718709,1.560098093,0.489361702
69,A,0.322580645,1.870967742,6.545454545,0.193548387,-0.643938068,-0.402361365,0.344086022
69,S,0.2,1.828571429,12.6,0.142857143,1.306966427,-0.019674202,0.5
70,B,0.296296296,2.666666667,5.75,0.037037037,3.909673937,0.423104767,0.296296296
70,T,0.166666667,1.875,3.8,0.125,4.796486353,-1.53935469,0.416666667
70,A,0.363636364,1.5,6.333333333,0.227272727,5.48163717,-1.922041853,0.363636364
70,S,0.523809524,1.666666667,5.666666667,0.333333333,5.860081548,-1.53935469,0.19047619
71,B,0.363636364,3.181818182,4.5,0.045454545,5.103192792,0.171669379,0.272727273
71,T,0.222222222,1.888888889,1.666666667,0.111111111,6.757287482,-3.25037876,0.5
71,A,0.444444444,1.166666667,8,0.388888889,6.757287482,-2.61625621,0.388888889
71,S,0.555555556,1.944444444,4.666666667,0.277777778,6.757287482,-1.53935469,0.166666667
72,B,0.297619048,3.69047619,27,0.011904762,-1.152742134,2.899503161,0.369047619
72,T,0.285714286,2.142857143,12.8,0.114285714,0.094256446,-0.653796752,0.385714286
72,A,0.256756757,1.77027027,6.1,0.162162162,-0.281148144,-1.982133659,0.472972973
72,S,0.285714286,1.732142857,8,0.196428571,1.585787391,-0.653796752,0.428571429
73,B,0.175,2.8,25.66666667,0,-3.161410398,2.516815999,0.4375
73,T,0.4,1.342857143,16.5,0.314285714,2.677646394,-1.790790078,0.171428571
73,A,0.384615385,1.512820513,8.5,0.333333333,1.926627092,-1.922041853,0.41025641
73,S,0.290322581,2,9.333333333,0.129032258,3.543247126,-0.90523214,0.516129032
74,B,0.414634146,3.414634146,5.666666667,0,1.583854993,0.674540155,0.292682927
74,T,0.416666667,1.75,8,0.277777778,2.480601182,-1.53935469,0.222222222
74,A,0.351351351,1.594594595,8,0.324324324,2.29007554,-1.922041853,0.405405405
74,S,0.290322581,2,9.333333333,0.129032258,3.543247126,-0.90523214,0.516129032
75,B,0.202479339,3.181818182,79.33333333,0.024793388,-1.208347758,3.52255755,0.417355372
75,T,0.308243728,2.225806452,45.16666667,0.17562724,-2.264147948,2.062968868,0.401433692
75,A,0.252459016,1.632786885,32.55555556,0.180327869,-2.954435154,0.734631961,0.380327869
75,S,0.445652174,1.72826087,29.66666667,0.260869565,0.733329396,-0.019674202,0.385869565
76,B,0.230769231,3.353846154,9.666666667,0.015384615,-0.528157112,1.691349867,0.384615385
76,T,0.322580645,1.774193548,11.2,0.241935484,-0.20002899,-0.402361365,0.435483871
76,A,0.387096774,1.741935484,19,0.274193548,-0.20002899,-0.90523214,0.403225806
76,S,0.272727273,1.863636364,13.33333333,0.204545455,2.157622169,-0.019674202,0.386363636
77,B,0.235294118,3.450980392,6.142857143,0.019607843,-2.016275829,1.560098093,0.411764706
77,T,0.340909091,2.227272727,9.75,0.136363636,-0.987004517,0.423104767,0.272727273
77,A,0.217391304,2.02173913,14.33333333,0.130434783,-1.291656613,1.057227317,0.369565217
77,S,0.2,2.114285714,16,0.114285714,0.533888867,0.171669379,0.485714286
78,B,0.25,3,9,0,0.524613462,0.674540155,0.4
78,T,0.4,1.775,4.428571429,0.25,0.524613462,-1.479262884,0.35
78,A,0.361111111,1.611111111,2.555555556,0.277777778,1.235609859,-2.113385434,0.222222222
78,S,0.2,2.466666667,13.5,0.066666667,2.477532676,-0.331201397,0.466666667
79,B,0.239130435,3.217391304,14.33333333,0.02173913,-1.954120295,1.560098093,0.304347826
79,T,0.5,2.111111111,6.2,0.333333333,-0.245504017,-1.53935469,0.305555556
79,A,0.444444444,1.388888889,3.833333333,0.361111111,-0.245504017,-2.61625621,0.305555556
